label,Main_Label,Sub_Label,Label_Identification,product,uri,upc,ean,isrc,song_name,artist_name,composer_name,album_name,total,file_name,income,admin_Exp,royality
"RHYFIL","Danka Music","RHYFIL","PDL","CBW","spotify:track:4c2MMmkpWFpCnu7X5JjA6Q","","1.94E+12","INR1L2100048","Raag Jog - Vilambit - Eri Man Bhayo Shyam","Shubha Joshi","Traditional","Sarvaangini","1","Streaming","0.02434955","0.00365243","0.02069712"
"RHYFIL","Danka Music","RHYFIL","PDL","CBW","spotify:track:4pAQ8Bx8C9uCAIELMwcBdO","","1.94E+12","INR1L2100028","Raag Mangal Bhairav - Vilambit - Mori Pat Rakho Kartar","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.02434955","0.00365243","0.02069712"
"RHYFIL","Danka Music","RHYFIL","PDL","CBW","spotify:track:54icRguusp8jnhYm8PqipI","","1.94E+12","INR1L2100030","Raag Khamaj - Thumri - Chhab Dikhala Ja","Shubha Joshi","Traditional","Surmayi","2","Streaming","0.04869911","0.00730487","0.04139424"
"RHYFIL","Danka Music","RHYFIL","PDL","CBW","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.02434955","0.00365243","0.02069712"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:57sbDFoOKvZTd2D13slsKf","","1.94E+12","INR1L2100131","Ruswaa","Reeshabh Purohit  Kalim Shaikh  Khwaab","Reeshabh Purohit  Kalim Shaikh","Ruswaa","1","Streaming","0.02434955","0.00365243","0.02069712"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:198JS19D86t3HzphIFF7DB","1.96E+11","","QZFZ42186097","Main Ek Saaya","Reeshabh Purohit  Nisha Satpute  Malavika Dikshit","Reeshabh Purohit  Nisha Satpute","Main Ek Saaya","1","Streaming","0.02434955","0.00365243","0.02069712"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:57sbDFoOKvZTd2D13slsKf","","1.94E+12","INR1L2100131","Ruswaa","Reeshabh Purohit  Kalim Shaikh  Khwaab","Reeshabh Purohit  Kalim Shaikh","Ruswaa","3","Streaming","0.07304858","0.01095729","0.06209129"
"RHYFIL","Danka Music","RHYFIL","PDL","PDIB","spotify:track:4BGKIRXxmSJi1mXS76ncjj","","1.94E+12","INR1L2100029","Raag Mangal Bhairav - Drut - Shiv Mahadev","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.02434955","0.00365243","0.02069712"
"RHYFIL","Danka Music","RHYFIL","PDL","PDIB","spotify:track:4pAQ8Bx8C9uCAIELMwcBdO","","1.94E+12","INR1L2100028","Raag Mangal Bhairav - Vilambit - Mori Pat Rakho Kartar","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.02434955","0.00365243","0.02069712"
"RHYFIL","Danka Music","RHYFIL","PDL","PDIB","spotify:track:54icRguusp8jnhYm8PqipI","","1.94E+12","INR1L2100030","Raag Khamaj - Thumri - Chhab Dikhala Ja","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.02434955","0.00365243","0.02069712"
