song_id,isrc,song_name,album_name,language,label,Main_Label,Sub_Label,Label_Identification,artist,album_id,total,file_name,income,admin_Exp,royality
"srch_pplmumbai_INR1L2100158","INR1L2100158","Sundar Se Dhyan Te","Sundar Se Dhyan Te","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Manjiri Alegaonkar","srch_pplmumbai_000RSSDT8FD2022","11","Mumbai","0.66080014","0.09912002","0.56168011"
"srch_pplmumbai_INR1L2100135","INR1L2100135","Naman Tula Guru Datta Digambar","Naman Tula Guru Datta Digambar","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Jaydeep Vaidya Ajay Naik","srch_pplmumbai_000RNTGD86E2021","33","Mumbai","1.98240040","0.29736006","1.68504034"
"srch_pplmumbai_INR1L2100024","INR1L2100024","Santo Aisaa Yog Bataya","Suno Mhaaree Arjee","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Ninu Mazumdar Sant Amritnath","srch_pplmumbai_000R0SMA3AF2021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100030","INR1L2100030","Raag Khamaj - Thumri - Chhab Dikhala Ja","Surmayi","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi","srch_pplmumbai_000R000S7BA2021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100049","INR1L2100049","Raag Jog - Drut - Mohe Kal Na Parat Sajna","Sarvaangini","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi","srch_pplmumbai_000R000SFE82021","3","Mumbai","0.18021822","0.02703273","0.15318549"
"srch_pplmumbai_INI112177836","INI112177836","Man Baware","Man Baware","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Sakshi Marathe Aaroh Kango Dev Ahhirrao","srch_pplmumbai_000R00MB05D2021","2","Mumbai","0.12014548","0.01802182","0.10212366"
"srch_pplmumbai_INR1L2100157","INR1L2100157","Sakha Panduranga","Sakha Panduranga","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Shounak Abhisheki","srch_pplmumbai_000R00SP9DC2022","24","Mumbai","1.44174575","0.21626186","1.22548389"
"srch_pplmumbai_INR1L2100097","INR1L2100097","Mudakaratha Modakam","Mudakaratha Modakam","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Sneha Hegde Padmanabh Gaikwad Rajendra Vaibhav","srch_pplmumbai_000R00MM9E82021","97","Mumbai","5.82705573","0.87405836","4.95299737"
"srch_pplmumbai_INR1L2100093","INR1L2100093","Shravan Nahi Aala","Shravan Nahi Aala","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Aarya Ambekar","srch_pplmumbai_000R0SNAE0B2021","49","Mumbai","2.94356424","0.44153464","2.50202960"
"srch_pplmumbai_INR1L2100136","INR1L2100136","Bum Bhole Bum","Bum Bhole Bum","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Abby J Sanrich Mrunal Shankar","srch_pplmumbai_000R0BBB0A32021","52","Mumbai","3.12378245","0.46856737","2.65521509"
"srch_pplmumbai_INR1L2100131","INR1L2100131","Ruswaa","Ruswaa","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Reeshabh Purohit Kalim Shaikh Khwaab","srch_pplmumbai_000R000R0ED2021","52","Mumbai","3.12378245","0.46856737","2.65521509"
"srch_pplmumbai_INR1L2100115","INR1L2100115","Jaaneman","Jaaneman","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Shaarib Toshi Kkomal Krusshna Kalim Shaikh","srch_pplmumbai_000R000J39A2021","62","Mumbai","3.72450985","0.55867648","3.16583337"
"srch_pplmumbai_INR1L2100060","INR1L2100060","Paus Jhirpato","Tujha Ek Themb","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Anandi Vikas Dr Vivek Muglikar Dhanashree Deshpande","srch_pplmumbai_000R0TETFD02021","4","Mumbai","0.24029096","0.03604364","0.20424731"
"srch_pplmumbai_INR1L2100165","INR1L2100165","Sundara","Sundara","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Abhishek Kate Shamika Bhide Amita Ghugari","srch_pplmumbai_000R000S8CF2022","232","Mumbai","13.93687557","2.09053134","11.84634423"
